Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Kosovo,XKX,51.1588662740641
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Kuwait,KWT,44.9344855293807
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Kyrgyz Republic,KGZ,75.7719702273738
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Lao PDR,LAO,51.8462482950864
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Latvia,LVA,60.9141268019291
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Lebanon,LBN,47.1829159540282
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Lesotho,LSO,81.7652445132183
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Liberia,LBR,106.548672566372
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Libya,LBY,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Liechtenstein,LIE,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Lithuania,LTU,76.3164240137755
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Luxembourg,LUX,187.468430138873
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Macao SAR, China",MAC,38.7365997355147
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Macedonia, FYR",MKD,65.0261536256807
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Madagascar,MDG,35.5307753998536
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Malawi,MWI,35.831605473959
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Malaysia,MYS,62.9492547008222
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Maldives,MDV,69.238583654149
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Mali,MLI,39.5942061555776
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Malta,MLT,136.115434038155
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Marshall Islands,MHL,91.4606681547197
