Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Urban population (% of total),SP.URB.TOTL.IN.ZS,Curacao,CUW,89.331
Urban population (% of total),SP.URB.TOTL.IN.ZS,Cyprus,CYP,66.921
Urban population (% of total),SP.URB.TOTL.IN.ZS,Czech Republic,CZE,72.992
Urban population (% of total),SP.URB.TOTL.IN.ZS,Denmark,DNK,87.676
Urban population (% of total),SP.URB.TOTL.IN.ZS,Djibouti,DJI,77.343
Urban population (% of total),SP.URB.TOTL.IN.ZS,Dominica,DMA,69.539
Urban population (% of total),SP.URB.TOTL.IN.ZS,Dominican Republic,DOM,78.98
Urban population (% of total),SP.URB.TOTL.IN.ZS,Ecuador,ECU,63.742
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Egypt, Arab Rep.",EGY,43.135
Urban population (% of total),SP.URB.TOTL.IN.ZS,El Salvador,SLV,66.726
Urban population (% of total),SP.URB.TOTL.IN.ZS,Equatorial Guinea,GNQ,39.923
Urban population (% of total),SP.URB.TOTL.IN.ZS,Eritrea,ERI,..
Urban population (% of total),SP.URB.TOTL.IN.ZS,Estonia,EST,67.538
Urban population (% of total),SP.URB.TOTL.IN.ZS,Ethiopia,ETH,19.472
Urban population (% of total),SP.URB.TOTL.IN.ZS,Faroe Islands,FRO,41.962
Urban population (% of total),SP.URB.TOTL.IN.ZS,Fiji,FJI,53.728
Urban population (% of total),SP.URB.TOTL.IN.ZS,Finland,FIN,84.221
Urban population (% of total),SP.URB.TOTL.IN.ZS,France,FRA,79.52
Urban population (% of total),SP.URB.TOTL.IN.ZS,French Polynesia,PYF,55.88
Urban population (% of total),SP.URB.TOTL.IN.ZS,Gabon,GAB,87.156
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Gambia, The",GMB,59.632
Urban population (% of total),SP.URB.TOTL.IN.ZS,Georgia,GEO,53.641
Urban population (% of total),SP.URB.TOTL.IN.ZS,Germany,DEU,75.301
Urban population (% of total),SP.URB.TOTL.IN.ZS,Ghana,GHA,54.042
Urban population (% of total),SP.URB.TOTL.IN.ZS,Gibraltar,GIB,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Greece,GRC,78.007
Urban population (% of total),SP.URB.TOTL.IN.ZS,Greenland,GRL,86.436
Urban population (% of total),SP.URB.TOTL.IN.ZS,Grenada,GRD,35.591
Urban population (% of total),SP.URB.TOTL.IN.ZS,Guam,GUM,94.516
Urban population (% of total),SP.URB.TOTL.IN.ZS,Guatemala,GTM,51.571
Urban population (% of total),SP.URB.TOTL.IN.ZS,Guinea,GIN,37.161
Urban population (% of total),SP.URB.TOTL.IN.ZS,Guinea-Bissau,GNB,49.332
Urban population (% of total),SP.URB.TOTL.IN.ZS,Guyana,GUY,28.553
Urban population (% of total),SP.URB.TOTL.IN.ZS,Haiti,HTI,58.645
Urban population (% of total),SP.URB.TOTL.IN.ZS,Honduras,HND,54.73
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Hong Kong SAR, China",HKG,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Hungary,HUN,71.227
Urban population (% of total),SP.URB.TOTL.IN.ZS,Iceland,ISL,94.137
Urban population (% of total),SP.URB.TOTL.IN.ZS,India,IND,32.747
Urban population (% of total),SP.URB.TOTL.IN.ZS,Indonesia,IDN,53.742
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Iran, Islamic Rep.",IRN,73.375
Urban population (% of total),SP.URB.TOTL.IN.ZS,Iraq,IRQ,69.471
Urban population (% of total),SP.URB.TOTL.IN.ZS,Ireland,IRL,63.241
Urban population (% of total),SP.URB.TOTL.IN.ZS,Isle of Man,IMN,52.203
Urban population (% of total),SP.URB.TOTL.IN.ZS,Israel,ISR,92.14
Urban population (% of total),SP.URB.TOTL.IN.ZS,Italy,ITA,68.964
Urban population (% of total),SP.URB.TOTL.IN.ZS,Jamaica,JAM,54.788
Urban population (% of total),SP.URB.TOTL.IN.ZS,Japan,JPN,93.498
Urban population (% of total),SP.URB.TOTL.IN.ZS,Jordan,JOR,83.679
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kazakhstan,KAZ,53.247
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kenya,KEN,25.622
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kiribati,KIR,44.304
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Korea, Dem. People’s Rep.",PRK,60.875
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Korea, Rep.",KOR,82.474
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kosovo,XKX,..
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kuwait,KWT,98.342
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kyrgyz Republic,KGZ,35.707
Urban population (% of total),SP.URB.TOTL.IN.ZS,Lao PDR,LAO,38.614
Urban population (% of total),SP.URB.TOTL.IN.ZS,Latvia,LVA,67.382
Urban population (% of total),SP.URB.TOTL.IN.ZS,Lebanon,LBN,87.792
Urban population (% of total),SP.URB.TOTL.IN.ZS,Lesotho,LSO,27.312
Urban population (% of total),SP.URB.TOTL.IN.ZS,Liberia,LBR,49.701
Urban population (% of total),SP.URB.TOTL.IN.ZS,Libya,LBY,78.554
Urban population (% of total),SP.URB.TOTL.IN.ZS,Liechtenstein,LIE,14.289
Urban population (% of total),SP.URB.TOTL.IN.ZS,Lithuania,LTU,66.508
Urban population (% of total),SP.URB.TOTL.IN.ZS,Luxembourg,LUX,90.16
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Macao SAR, China",MAC,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Macedonia, FYR",MKD,57.104
Urban population (% of total),SP.URB.TOTL.IN.ZS,Madagascar,MDG,35.105
Urban population (% of total),SP.URB.TOTL.IN.ZS,Malawi,MWI,16.272
Urban population (% of total),SP.URB.TOTL.IN.ZS,Malaysia,MYS,74.705
Urban population (% of total),SP.URB.TOTL.IN.ZS,Maldives,MDV,45.536
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mali,MLI,39.916
Urban population (% of total),SP.URB.TOTL.IN.ZS,Malta,MLT,95.407
Urban population (% of total),SP.URB.TOTL.IN.ZS,Marshall Islands,MHL,72.684
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mauritania,MRT,59.859
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mauritius,MUS,39.671
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mexico,MEX,79.246
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Micronesia, Fed. Sts.",FSM,22.424
Urban population (% of total),SP.URB.TOTL.IN.ZS,Moldova,MDA,44.995
Urban population (% of total),SP.URB.TOTL.IN.ZS,Monaco,MCO,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mongolia,MNG,72.04
Urban population (% of total),SP.URB.TOTL.IN.ZS,Montenegro,MNE,64.026
Urban population (% of total),SP.URB.TOTL.IN.ZS,Morocco,MAR,60.195
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mozambique,MOZ,32.214
Urban population (% of total),SP.URB.TOTL.IN.ZS,Myanmar,MMR,34.098
Urban population (% of total),SP.URB.TOTL.IN.ZS,Namibia,NAM,46.66
Urban population (% of total),SP.URB.TOTL.IN.ZS,Nauru,NRU,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Nepal,NPL,18.615
Urban population (% of total),SP.URB.TOTL.IN.ZS,Netherlands,NLD,90.496
Urban population (% of total),SP.URB.TOTL.IN.ZS,New Caledonia,NCL,70.21
Urban population (% of total),SP.URB.TOTL.IN.ZS,New Zealand,NZL,86.284
Urban population (% of total),SP.URB.TOTL.IN.ZS,Nicaragua,NIC,58.779
Urban population (% of total),SP.URB.TOTL.IN.ZS,Niger,NER,18.732
Urban population (% of total),SP.URB.TOTL.IN.ZS,Nigeria,NGA,47.776
Urban population (% of total),SP.URB.TOTL.IN.ZS,Northern Mariana Islands,MNP,89.237
