Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Forest area (% of land area),AG.LND.FRST.ZS,Bosnia and Herzegovina,BIH,42.67578125
Forest area (% of land area),AG.LND.FRST.ZS,Botswana,BWA,19.1272740105518
Forest area (% of land area),AG.LND.FRST.ZS,Brazil,BRA,59.048783581036
Forest area (% of land area),AG.LND.FRST.ZS,British Virgin Islands,VGB,24.1333333333333
Forest area (% of land area),AG.LND.FRST.ZS,Brunei Darussalam,BRN,72.1062618595825
Forest area (% of land area),AG.LND.FRST.ZS,Bulgaria,BGR,35.2155490051584
Forest area (% of land area),AG.LND.FRST.ZS,Burkina Faso,BFA,19.5540935672515
Forest area (% of land area),AG.LND.FRST.ZS,Burundi,BDI,10.7476635514019
Forest area (% of land area),AG.LND.FRST.ZS,Cabo Verde,CPV,22.3076923076923
Forest area (% of land area),AG.LND.FRST.ZS,Cambodia,KHM,53.5746657602538
Forest area (% of land area),AG.LND.FRST.ZS,Cameroon,CMR,39.8045313194136
Forest area (% of land area),AG.LND.FRST.ZS,Canada,CAN,38.1666705155655
Forest area (% of land area),AG.LND.FRST.ZS,Cayman Islands,CYM,52.9166666666667
Forest area (% of land area),AG.LND.FRST.ZS,Central African Republic,CAF,35.5870172397188
Forest area (% of land area),AG.LND.FRST.ZS,Chad,TCD,3.87150571791614
Forest area (% of land area),AG.LND.FRST.ZS,Channel Islands,CHI,4.21052631578947
Forest area (% of land area),AG.LND.FRST.ZS,Chile,CHL,23.8523695012454
Forest area (% of land area),AG.LND.FRST.ZS,China,CHN,22.1896695760247
Forest area (% of land area),AG.LND.FRST.ZS,Colombia,COL,52.7280216313655
Forest area (% of land area),AG.LND.FRST.ZS,Comoros,COM,19.8817839871037
Forest area (% of land area),AG.LND.FRST.ZS,"Congo, Dem. Rep.",COD,67.3024414988642
Forest area (% of land area),AG.LND.FRST.ZS,"Congo, Rep.",COG,65.3997071742313
Forest area (% of land area),AG.LND.FRST.ZS,Costa Rica,CRI,53.9757148452801
Forest area (% of land area),AG.LND.FRST.ZS,Cote d'Ivoire,CIV,32.7075471698113
Forest area (% of land area),AG.LND.FRST.ZS,Croatia,HRV,34.3459614010007
Forest area (% of land area),AG.LND.FRST.ZS,Cuba,CUB,30.763314747164
Forest area (% of land area),AG.LND.FRST.ZS,Curacao,CUW,..
Forest area (% of land area),AG.LND.FRST.ZS,Cyprus,CYP,18.6904761904762
Forest area (% of land area),AG.LND.FRST.ZS,Czech Republic,CZE,34.5376845376845
Forest area (% of land area),AG.LND.FRST.ZS,Denmark,DNK,14.5796618242439
Forest area (% of land area),AG.LND.FRST.ZS,Djibouti,DJI,0.241587575496117
Forest area (% of land area),AG.LND.FRST.ZS,Dominica,DMA,57.7733333333333
Forest area (% of land area),AG.LND.FRST.ZS,Dominican Republic,DOM,41.0474021941627
Forest area (% of land area),AG.LND.FRST.ZS,Ecuador,ECU,50.522950555645
Forest area (% of land area),AG.LND.FRST.ZS,"Egypt, Arab Rep.",EGY,0.0733336681902657
Forest area (% of land area),AG.LND.FRST.ZS,El Salvador,SLV,12.7895752895753
Forest area (% of land area),AG.LND.FRST.ZS,Equatorial Guinea,GNQ,55.9001782531194
Forest area (% of land area),AG.LND.FRST.ZS,Eritrea,ERI,14.950495049505
Forest area (% of land area),AG.LND.FRST.ZS,Estonia,EST,52.6539278131635
Forest area (% of land area),AG.LND.FRST.ZS,Ethiopia,ETH,12.499
Forest area (% of land area),AG.LND.FRST.ZS,Faroe Islands,FRO,0.0573065902578797
Forest area (% of land area),AG.LND.FRST.ZS,Fiji,FJI,55.6759715380405
Forest area (% of land area),AG.LND.FRST.ZS,Finland,FIN,73.1071698858215
Forest area (% of land area),AG.LND.FRST.ZS,France,FRA,31.0269067877865
Forest area (% of land area),AG.LND.FRST.ZS,French Polynesia,PYF,42.3497267759563
Forest area (% of land area),AG.LND.FRST.ZS,Gabon,GAB,89.2614584546125
Forest area (% of land area),AG.LND.FRST.ZS,"Gambia, The",GMB,48.2213438735178
Forest area (% of land area),AG.LND.FRST.ZS,Georgia,GEO,40.6159159591308
Forest area (% of land area),AG.LND.FRST.ZS,Germany,DEU,32.7324219813736
Forest area (% of land area),AG.LND.FRST.ZS,Ghana,GHA,41.0345433769887
Forest area (% of land area),AG.LND.FRST.ZS,Gibraltar,GIB,0
Forest area (% of land area),AG.LND.FRST.ZS,Greece,GRC,31.4507370054306
Forest area (% of land area),AG.LND.FRST.ZS,Greenland,GRL,0.000535997076379583
