"","Country","Region","Happiness_Score","Econonmy_GDP_Per_Capita","Family","Health_Life_Expectancy","Freedom","Trust_Government_Corruption","Generosity","Air_Pollution","Internet_Usage_Index","Cellular_Subscriber_Index","Total_Population","Child_Mortality_Index","Alcohol_Consumption_Index","Birth_Rate_Index","Mental_and_Substance_Disorder_Index","Suicide_Index","Clean_Water_Index","Population_Growth_Rate","HIV_Disease_Index","Obesity_Index","Electricity_Access_Population_Percentage","Compulsory_Education_in_Years","Agricultural_Land_Percentage","Entrepreneurship_Cost_Index","Forest_Area_Land_Percentage","Infant_Immunization_Measles_Index","Automotive_Mortality_Index","Urban_Population_Percentage","Legal_Rights_Index"
"61","Croatia","Central and Eastern Europe",5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,21.78040386,69.8031,103.766672447592,4236016,0.448999977111816,11.7,1.464,14.6505953075,14.2418315127,99.6,-0.523,0.0107147004456,23.9,100,8,27.4767691208006,3.4,34.3459614010007,93,9.2,58.964,5
"63","Russian Federation","Central and Eastern Europe",5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,16.63374961,70.0992412263947,159.951485924084,143888000,0.930500030517578,14.5,1.7410001,17.4807576528,30.4766215939,96.9,0.071,0.495990563116,22.8,100,11,13.2944707993652,1.4,49.7610654538993,98,17.4,74.008,7
"64","Jamaica","Latin America and Caribbean",5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,16.99207352,42.2212211907441,111.514582998611,2871934,1.67450008392334,5.1,2.026,15.3961970748,2.92655976238,93.8,0.335,0.594872113597,24.1,97.2788848876953,6,40.9972299168975,5,30.9510618651893,91,10,54.788,9
"65","Cyprus","Western Europe",5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,18.28597332,71.7159,95.4003408617707,1160985,0.461399984359741,9.1,1.35,16.339575785,4.63956424751,100,0.767,0.245957258348,21.4,100,10,13.7662337662338,12.5,18.6904761904762,90,6.5,66.921,7
"66","Algeria","Middle East and Northern Africa",5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,35.56453306,38.2,106.384341241495,39871528,2.95779991149902,0.6,2.839,16.5080082781,3.7210638964,83.6,1.873,0.0213231586447,26.7,99.3367080688477,10,17.4059301183169,10.9,0.821248331052088,95,23.7,70.727,2
"68","Mauritius","Sub-Saharan Africa",5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,14.95404587,50.1393184766711,140.581262798335,1259456,1.33950004577637,4,1.443,13.9914586807,8.36053198427,99.9,0.195,0.17250589012,10.5,98.7412567138672,11,41.871921182266,2,19.0147783251232,99,12.9,39.671,6
"70","Indonesia","Southeastern Asia",5.399,0.82827,1.08708,0.63793,0.46611,0,0.51535,15.40820407,21.9760677113476,132.34821009376,258162112,2.78419990539551,0.6,2.3889999,12.7841065015,3.55467015609,87.4,1.159,0.266296092349,6.5,97.5373674369822,9,31.4644203646561,19.9,50.2381911822342,75,15.5,53.742,5
"71","Vietnam","Southeastern Asia",5.36,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,28.2516555,52.720000000055,130.639685787998,93571568,2.24669990539551,8.7,1.9579999,12.8995551075,8.31251103565,97.6,1.082,0.415945577806,2,100,10,37.7656658173961,4.9,47.6440803689489,97,24,33.593,7
"72","Turkey","Middle East and Northern Africa",5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,36.40911573,53.7449791423583,96.0213486130337,78271472,1.64489994049072,2.4,2.072,16.7929592013,3.35053391113,100,1.586,0.0135647750484,31.5,100,12,50.0838065044242,17.8,15.2215999896054,97,8.8,73.397,2
"73","Kyrgyz Republic","Central and Eastern Europe",5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,16.92166624,30.247042775311,132.7972052354,5865401,2.0632999420166,3.9,3.0510001,14.6169623081,12.4160148981,90,1.545,0.134089104712,16,99.9065551757813,10,55.0422314911366,2.1,3.32116788321168,99,20.1,35.707,8
"74","Nigeria","Sub-Saharan Africa",5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,37.95728931,47.442550294429,82.1857390940684,181181744,11.2083000183106,11.3,5.5910001,15.1066488484,7.03530924093,68.5,2.63,2.93825901658,8.5,52.5,9,77.7364208307256,31.7,7.67811851510261,51,20.6,47.776,6
"76","Azerbaijan","Central and Eastern Europe",5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,30.3540129,77,111.28263171802,9617484,3.3423999786377,2.1,2.092,14.0505149895,4.14994695853,87,1.152,0.0444611661248,19.3,100,10,57.7017529003303,1.8,13.7836758888499,98,10,54.62,2
"77","Pakistan","Southern Asia",5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,64.95375677,18,66.9166230298871,189380512,8.28499984741211,0.1,3.55,15.3838762318,3.87148846863,91.4,2.022,0.0383504224589,8.2,93.5,12,47.0267745952677,13.9,1.90950601909506,61,14.3,38.758,2
"78","Jordan","Middle East and Northern Africa",5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,38.79814209,53.4,179.433012213645,9159302,1.84729995727539,0.7,3.4449999,16.5202242398,3.49150673141,96.9,3.541,0.00220070943037,34.9,99.9983215332031,10,11.901329128182,19,1.09822031989187,94,23.6,83.679,0
"79","Montenegro","Central and Eastern Europe",5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,23.35266451,68.1195810359317,162.155944114448,628178,0.62480001449585,11.5,1.677,14.2711559903,10.8190678317,99.7,0.075,0.00682051073209,22.8,99.9991607666016,9,17.2044609665428,1.6,61.4869888475836,64,10.3,64.026,12
"80","China","Eastern Asia",5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,58.37659937,50.3,92.180118710024,1397028480,1.22469997406006,7.6,1.617,14.7597573539,8.72212687561,95.5,0.479,0.0564245370462,5.9,100,9,56.2229587724434,0.7,22.1896695760247,99,19.4,55.614,4
"81","Zambia","Sub-Saharan Africa",5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,26.74664908,21,74.4717777592779,16100587,7.28730010986328,4,5.0409999,15.6222194293,17.67506528,65.4,3.013,12.3314831538,7.7,31.1,7,32.0639233780384,34.3,65.4232636973863,90,24.7,40.922,7
"82","Romania","Central and Eastern Europe",5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,19.57866345,55.7632,107.140204125259,19876622,0.941399955749512,12.9,1.512,13.5657058382,10.0877062022,100,-0.49,0.0644975808266,22.1,100,10,60.1312586926287,2.1,29.8200625869263,86,8.9,54.564,9
