"","X","Country","Region","Happiness_Score","Econonmy_GDP_Per_Capita","Family","Health_Life_Expectancy","Freedom","Trust_Government_Corruption","Generosity","Air_Pollution","Internet_Usage_Index","Cellular_Subscriber_Index","Total_Population","Child_Mortality_Index","Alcohol_Consumption_Index","Birth_Rate_Index","Mental_and_Substance_Disorder_Index","Suicide_Index","Clean_Water_Index","Population_Growth_Rate","HIV_Disease_Index","Obesity_Index","Electricity_Access_Population_Percentage","Compulsory_Education_in_Years","Agricultural_Land_Percentage","Entrepreneurship_Cost_Index","Forest_Area_Land_Percentage","Infant_Immunization_Measles_Index","Automotive_Mortality_Index","Urban_Population_Percentage","Legal_Rights_Index"
"Malaysia",60,"Malaysia","Southeastern Asia",0.199201324789267,0.597887715268558,0.115959224631086,0.134021075099086,0.580362464466111,-0.0772708057584158,0.826998694075522,-0.685263311133395,0.588210549209055,0.913516134898842,0.586209335757734,-0.696711132175221,-0.942640803295792,-0.174190251954726,-1.31541546144171,-0.154874992467072,0.257241329086499,0.285069902367266,-0.160889476162922,-0.458467590871497,0.10384389310277,-1.5553684153474,-0.898203379560268,-0.122812419850878,1.61985625863827,0.0522995556137046,0.500758133851913,0.576949843629339,0.676209694145264
"Croatia",61,"Croatia","Central and Eastern Europe",0.180012369792705,0.477002039608455,-0.896560611639707,0.46937651605927,-1.13550341408212,-1.2947202698278,-1.78768342234434,-0.133136753592952,0.500758133851913,-0.205928150618794,-0.687801523261406,-1.06237331709253,1.21186539705991,-1.16094335425026,-0.628088879513752,0.7627114237563,0.511469190920836,-1.52245351726222,-1.29451172542578,0.52223925228217,0.753536111752307,-0.685085424496852,-0.737209238089468,-0.437630531047301,0.316161802149676,0.0522995556137046,-0.610767694252199,-0.163831802252389,0.048726643634854
"Russian Federation",63,"Russian Federation","Central and Eastern Europe",0.160889476162922,0.634951223301471,0.933906537253766,-0.117311398654931,-0.536509588632936,-1.18824892127272,-2.54708561966077,-0.574491945247256,0.52223925228217,1.3527497598678,1.49529067263709,-0.533232214028378,1.87968973092101,-0.593029275037483,0.928906957115115,2.18786309731606,0.0754588663820661,-0.995602453083953,0.458467590871496,0.406724251871364,0.753536111752307,0.593217023300014,-1.35856107506859,-0.899434907667234,1.00314796766253,1.01584144813061,0.113323059587658,0.542322601689567,0.676209694145264
"Jamaica",64,"Jamaica","Latin America and Caribbean",0.141825242326317,-0.240645267908782,0.492974360082045,-0.0368875345912045,0.38155244611021,-1.31948217028524,-0.0738984065202638,-0.539322654981866,-0.296409602086355,0.0130625151016381,-0.952801829509316,-0.079142807169983,-0.306270765356875,-0.208445678775269,-0.158499713106907,-1.93364439888723,-0.170443131739819,-0.764577074627913,0.610767694252199,0.577043937955507,-0.336038140371823,-1.5553684153474,-0.119262240646562,-0.266994125404953,0.028274010380469,-0.159591765939658,-0.490104222390551,-0.347265739303033,1.24809009814159
"Cyprus",65,"Cyprus","Western Europe",0.122812419850878,0.844285312918817,-0.581921779771308,1.42294894627756,-0.291021365561701,-0.665152092227835,0.661770940469659,-0.41856929345428,0.633640000779701,-0.444166622212842,-1.59068762399556,-1.04240914346618,0.533070234972238,-1.54835970332632,0.368153774612902,-1.18391102546121,1.13675887945677,-0.390567639414641,0.0849126598079153,0.122812419850878,0.753536111752307,0.170642380389107,-1.33830771597008,0.160889476162922,-0.316161802149676,-0.251114734622305,-0.942640803295792,0.200255717231803,0.676209694145264
"Algeria",66,"Algeria","Middle East and Northern Africa",0.10384389310277,0.0872729108645882,0.149289263002341,-0.331934882124921,-0.993738335745534,0.61105625708931,-1.47984528634959,0.647118329388158,-0.376201746254725,-0.131771619774383,0.744624498332633,0.404602369977456,-1.41218757890616,0.501683911363388,0.455647274717283,-1.54636100217454,-0.728732328202692,0.545069148990843,-0.913647201385053,0.913647201385053,-0.180012369792705,0.170642380389107,-1.18111129946799,0.0660118123758406,-1.49337770394981,0.323075501494712,0.680416776238936,0.381741614697594,-1.06677706202733
"Mauritius",68,"Mauritius","Sub-Saharan Africa",0.0849126598079153,0.269569480466059,-0.240155033329649,0.0649296387125811,0.828649798746059,-0.463968476698934,1.11905678175258,-0.750780759424548,-0.0660118123758407,0.822460186803521,-1.53216481206091,-0.256439222118424,-0.511469190920836,-1.22057536213204,-1.09465576549974,-0.183935807346735,0.645200916293897,-0.886854630888011,-0.257241329086499,-0.599450993867666,-0.257241329086499,0.593217023300014,-0.078366083747049,-0.704368997936395,-0.296409602086355,1.66082955953865,-0.23780792053137,-0.972658515316929,0.370712860893872
"Indonesia",70,"Indonesia","Southeastern Asia",0.0660118123758406,-0.196312019912347,0.191398852583666,-0.24993679184,0.104092635543577,-1.78673989328723,1.82762538254385,-0.701132351128021,-0.610767694252199,0.594988145742311,1.82159871513482,0.350844077003065,-1.41218757890616,0.155220899669248,-2.1326219094998,-1.62071080065695,-0.52223925228217,-0.055413469375407,0.180012369792705,-1.06757052387814,-0.316161802149676,-0.255436412643878,-0.557661585511577,0.565948821932863,1.03482235752387,-1.12002408569267,0.00942355403831797,-0.39244035743874,0.048726643634854
"Vietnam",71,"Vietnam","Southeastern Asia",0.0471345198529629,-0.66365498008248,-0.514631965283536,0.247696558430168,1.12503048336203,-0.0844499286140685,-0.478600342654257,0.284746959438531,0.00942355403831797,0.547615607884562,1.2489313636181,0.164767063676469,0.468960676235104,-0.289746527502847,-2.01971589877718,-0.193950687558068,0.122812419850878,-0.120935442463852,0.437630531047301,-2.43147239939543,0.753536111752307,0.170642380389107,-0.269361942720504,-0.306270765356875,0.972449316550956,0.712670905474592,0.704368997936395,-1.20888483407172,0.676209694145264
"Turkey",72,"Turkey","Middle East and Northern Africa",0.028274010380469,0.416473810215453,-0.389927092020292,0.172136205142405,-1.2912814597417,0.469081297291371,-0.958300810767602,0.683651320192542,0.0471345198529629,-0.426416244452146,1.14514982884612,-0.0935498455717138,-0.753536111752307,-0.15629328571657,0.599717698874789,-1.71642198831862,1.13675887945677,0.305218833033747,-1.10150554678709,1.69420905962633,0.753536111752307,1.01235167335525,0.311328409155324,0.416981787294106,-0.376201746254725,0.712670905474592,-0.656848717406931,0.512118330733108,-1.06677706202733
